,Loss_Source0_Training,Loss_Source0_Test,Loss_Source_Training,Loss_Source_Test,Loss_Target_Training,Loss_Target_Validation,Loss_Target_Test,Loss_Training,Loss_Test
main_1_2,0.5941647291183472,0.682108461856842,0.8997608423233032,1.0235832929611206,1.0068259239196777,0.8375802636146545,1.1556079387664795,0.8663265109062195,0.98697429895401
main_1_3,0.6146042346954346,0.678718090057373,0.709280252456665,0.9879040122032166,1.0325242280960083,0.7822638750076294,1.1257359981536865,0.7165001630783081,0.9558651447296143
main_1_4,0.6912603378295898,0.6760625243186951,0.9576250314712524,0.9400960803031921,0.6199246644973755,0.7639781832695007,1.1070928573608398,0.9023635983467102,0.9157231450080872
main_1_5,0.5963300466537476,0.6724033951759338,1.0285791158676147,0.8922511339187622,0.6508044600486755,0.7458517551422119,1.0910929441452026,0.9492185115814209,0.8755802512168884
main_1_6,0.6248507499694824,0.6700426936149597,0.9188495874404907,0.9518609046936035,1.0382702350616455,0.7911598086357117,1.068547248840332,0.8876789808273315,0.9221158623695374
main_1_7,0.6230235695838928,0.6672616600990295,0.7848515510559082,0.9604197144508362,0.8866739869117737,0.7892909049987793,1.0507073402404785,0.769881010055542,0.9275935292243958
main_1_8,0.5978848338127136,0.6621657013893127,0.5489876866340637,0.8120582699775696,0.7582600116729736,0.7277429103851318,1.0300440788269043,0.568057119846344,0.8056862354278564
main_1_9,0.6170268058776855,0.6571239829063416,0.6458110809326172,0.7653323411941528,0.8175140023231506,0.6740787029266357,1.0478929281234741,0.6524556875228882,0.7683190703392029
main_1_10,0.6215915679931641,0.653404712677002,0.7577923536300659,0.7457934021949768,0.7722702026367188,0.6543952226638794,1.0525256395339966,0.7408767342567444,0.7523114681243896
main_1_11,0.61741703748703,0.653713583946228,0.3664797842502594,0.8186071515083313,0.8722746968269348,0.6544193625450134,0.9856356382369995,0.42991209030151367,0.807187557220459
main_1_12,0.6473199129104614,0.6529088616371155,0.5500305891036987,0.719123363494873,0.7828097343444824,0.6774386763572693,0.9775062799453735,0.5768463015556335,0.7261308431625366
main_1_13,0.6718575358390808,0.6522058248519897,0.39634421467781067,0.778540849685669,0.7467465996742249,0.726073682308197,1.0000079870224,0.45357051491737366,0.7754573822021484
main_1_14,0.6638351082801819,0.6524056792259216,0.5534663200378418,0.7775189876556396,0.8310194611549377,0.7421780824661255,0.9999797940254211,0.5847039222717285,0.7746553421020508
main_1_15,0.5631986856460571,0.6506269574165344,0.7468580603599548,0.7284771203994751,1.0407543182373047,0.7291890382766724,0.9892300367355347,0.7406749129295349,0.7341081500053406
main_1_16,0.6045247316360474,0.6511692404747009,0.6773868203163147,0.7175304293632507,0.6629326343536377,0.6949527263641357,0.9816129803657532,0.6669923663139343,0.7248642444610596
main_1_17,0.5534497499465942,0.6487055420875549,0.670566201210022,0.7142760157585144,0.6338106393814087,0.674583375453949,0.9652653932571411,0.6530390381813049,0.720919668674469
main_1_18,0.6598559021949768,0.6424416303634644,0.5618109703063965,0.6655985713005066,0.7189266085624695,0.6745268702507019,0.952089250087738,0.5841403603553772,0.6799343228340149
main_1_19,0.5995640754699707,0.6281212568283081,0.5495754480361938,0.6328033804893494,0.7288049459457397,0.6655182242393494,0.9048938155174255,0.5669668912887573,0.6486800312995911
main_2_0,0.5941309332847595,0.6174859404563904,0.20346064865589142,0.6836419701576233,0.7230885624885559,0.6135534644126892,0.855396032333374,0.28598564863204956,0.6854075789451599
main_2_1,0.5013684034347534,0.6094821691513062,0.4327217638492584,0.7067316174507141,0.518725574016571,0.5978994369506836,0.8455550074577332,0.4469013214111328,0.7024397253990173
main_2_2,0.6324708461761475,0.597646176815033,0.46181368827819824,0.6648039221763611,0.7790662050247192,0.601638674736023,0.8356384038925171,0.5033330321311951,0.666382908821106
main_2_3,0.6444830894470215,0.5969884395599365,0.4126245677471161,0.5818347334861755,0.6496921181678772,0.5596404671669006,0.756055474281311,0.4572799801826477,0.5943719744682312
main_2_4,0.5670499801635742,0.6105033755302429,0.3192084729671478,0.7040482759475708,0.6767413020133972,0.6148931980133057,0.7705355882644653,0.37325188517570496,0.6958568096160889
